project_name,address,city,zip,latitude,longitude,total_units,affordable_units,family_units_estimate,status,expected_year,source
7225 N CURTIS AVE,7225 N CURTIS AVE,Portland,97217,45.5756955468207,-122.698388472772,1.0,1.0,1.0,in_service,1951.0,Metro RLIS Affordable Housing
4066 NE CLEVELAND AVE,4066 NE CLEVELAND AVE,Portland,97212,45.5530266627705,-122.665370567642,1.0,1.0,1.0,in_service,1925.0,Metro RLIS Affordable Housing
58 NE SKIDMORE ST,58 NE SKIDMORE ST,Portland,97211,45.5543980308879,-122.665470190468,1.0,1.0,1.0,in_service,1907.0,Metro RLIS Affordable Housing
3956 NE MALLORY AVE,3956 NE MALLORY AVE,Portland,97212,45.5516320096488,-122.663329235554,1.0,1.0,1.0,in_service,1926.0,Metro RLIS Affordable Housing
4307 NE MALLORY AVE,4307 NE MALLORY AVE,Portland,97211,45.5547299128777,-122.663891447818,1.0,1.0,,in_service,1911.0,Metro RLIS Affordable Housing
128 NE MORRIS ST,128 NE MORRIS ST,Portland,97212,45.5443465227749,-122.663504351536,1.0,1.0,1.0,in_service,1885.0,Metro RLIS Affordable Housing
518 NE BRAZEE ST,518 NE BRAZEE ST,Portland,97212,45.5402177203061,-122.66015232504,1.0,1.0,1.0,in_service,1903.0,Metro RLIS Affordable Housing
6005 NE 6TH AVE,6005 NE 6TH AVE,Portland,97211,45.5666267958093,-122.659539795361,3.0,3.0,,in_service,2017.0,Metro RLIS Affordable Housing
"93RD AVENUE COMMONS
93RD AVENUE COMMONS",6119 SE 93RD AVE,Portland,97266,45.478285059349,-122.567902572006,3.0,3.0,3.0,in_service,2005.0,Metro RLIS Affordable Housing
7736 SE HENRY PL,7736 SE HENRY PL,Portland,97206,45.476035447561,-122.583200028804,1.0,1.0,1.0,in_service,1996.0,Metro RLIS Affordable Housing
HENRY,309 SW 4TH AVE,Portland,97204,45.5210699348623,-122.675539169897,172.0,171.0,,in_service,1909.0,Metro RLIS Affordable Housing
MARK O. HATFIELD,726 W BURNSIDE ST,Portland,97205,45.5228511690525,-122.677987349497,106.0,106.0,,in_service,1910.0,Metro RLIS Affordable Housing
GOLDEN WEST BUILDING,707 NW EVERETT ST,Portland,97209,45.5252657448792,-122.677832001136,68.0,68.0,,in_service,1900.0,Metro RLIS Affordable Housing
SALLY MCCRACKEN,532 NW EVERETT ST,Portland,97209,45.525112055385,-122.676016742202,95.0,95.0,,in_service,1912.0,Metro RLIS Affordable Housing
THE MODERN RICH APARTMENTS,205 NW COUCH ST,Portland,97209,45.5240641398466,-122.672709443628,34.0,34.0,,in_service,1905.0,Metro RLIS Affordable Housing
CORNERSTONE CONDOS,1134 SW JEFFERSON ST,Portland,97201,45.5163194216689,-122.685961561302,46.0,6.0,,in_service,2000.0,Metro RLIS Affordable Housing
5825 NE CENTER COMMONS WAY,5825 NE CENTER COMMONS WAY,Portland,97213,45.5270014763244,-122.603234645676,172.0,172.0,,in_service,1999.0,Metro RLIS Affordable Housing
ARBOR GLEN APARTMENTS,2609 SE 145TH AVE,Portland,97236,45.5025366661032,-122.515053312133,97.0,96.0,24.0,in_service,1972.0,Metro RLIS Affordable Housing
4629 NE 16TH AVE,4629 NE 16TH AVE,Portland,97211,45.5568249737483,-122.649033926414,1.0,1.0,,in_service,1949.0,Metro RLIS Affordable Housing
4304 NE 12TH AVE,4304 NE 12TH AVE,Portland,97211,45.5546468345752,-122.653469840397,2.0,2.0,2.0,in_service,1914.0,Metro RLIS Affordable Housing
4825 NE CLEVELAND AVE,4825 NE CLEVELAND AVE,Portland,97211,45.5581343924794,-122.665953816345,4.0,4.0,4.0,in_service,2001.0,Metro RLIS Affordable Housing
4025 NE 9TH AVE,4025 NE 9TH AVE,Portland,97212,45.5524645738064,-122.656930151594,1.0,1.0,,in_service,1904.0,Metro RLIS Affordable Housing
3546 NE 6TH AVE,3544 NE 6TH AVE,Portland,97212,45.5489076655452,-122.659304169072,2.0,2.0,,in_service,1922.0,Metro RLIS Affordable Housing
4820 NE 26TH AVE,4820 NE 26TH AVE,Portland,97211,45.5580064342401,-122.63860253036,1.0,1.0,,in_service,1913.0,Metro RLIS Affordable Housing
5115 NE 28TH AVE,5115 NE 28TH AVE,Portland,97211,45.5598247307312,-122.637100499321,1.0,1.0,,in_service,1922.0,Metro RLIS Affordable Housing
4714 NE 13TH AVE,4714 NE 13TH AVE,Portland,97211,45.5570021170548,-122.652391890504,1.0,1.0,,in_service,1950.0,Metro RLIS Affordable Housing
219 NE SHAVER ST,219 NE SHAVER ST,Portland,97212,45.5522772570915,-122.663053685788,3.0,3.0,3.0,in_service,2001.0,Metro RLIS Affordable Housing
3958 NE GARFIELD AVE,3958 NE GARFIELD AVE,Portland,97212,45.5516242564864,-122.66227273193,4.0,4.0,,in_service,2001.0,Metro RLIS Affordable Housing
TAYLOR APARTMENTS,1330 SE TAYLOR ST,Portland,97214,45.514832169953,-122.651861106248,10.0,10.0,,in_service,1969.0,Metro RLIS Affordable Housing
BEACON MANOR APARTMENTS,3123 SE 8TH AVE,Portland,97202,45.5001268427825,-122.658242449969,20.0,20.0,,in_service,1970.0,Metro RLIS Affordable Housing
926 SE MALL ST,926 SE MALL ST,Portland,97202,45.4912263548116,-122.65456820714,1.0,1.0,,in_service,1926.0,Metro RLIS Affordable Housing
2418 SE CORA ST,2418 SE CORA ST,Portland,97202,45.4919297485263,-122.641114493141,1.0,1.0,,in_service,1910.0,Metro RLIS Affordable Housing
2936 SE 17TH AVE,2936 SE 17TH AVE,Portland,97202,45.5014927945082,-122.648359960842,1.0,1.0,,in_service,1900.0,Metro RLIS Affordable Housing
2542 SE 18TH AVE,2542 SE 18TH AVE,Portland,97202,45.5041226977886,-122.647325770778,1.0,1.0,,in_service,1903.0,Metro RLIS Affordable Housing
648 SE 20TH AVE,648 SE 20TH AVE,Portland,97214,45.517841373599,-122.645285574337,1.0,1.0,,in_service,1930.0,Metro RLIS Affordable Housing
3862 SE IVON ST,3862 SE IVON ST,Portland,97202,45.5039166086297,-122.622850312504,1.0,1.0,,in_service,1993.0,Metro RLIS Affordable Housing
2617 SE 39TH AVE,2617 SE 39TH AVE,Portland,97202,45.503779314579,-122.622832616876,1.0,1.0,,in_service,1993.0,Metro RLIS Affordable Housing
1527 SE CLINTON ST,1527 SE CLINTON ST,Portland,97202,45.5036549011723,-122.649969011448,1.0,1.0,,in_service,1895.0,Metro RLIS Affordable Housing
3735 SE CLINTON ST,3735 SE CLINTON ST,Portland,97202,45.5035741669089,-122.62440752929,1.0,1.0,,in_service,1927.0,Metro RLIS Affordable Housing
3134 SE 21ST AVE,3134 SE 21ST AVE,Portland,97202,45.5000624413107,-122.644309109589,1.0,1.0,,in_service,1926.0,Metro RLIS Affordable Housing
2727 SE 16TH AVE,2727 SE 16TH AVE,Portland,97202,45.5030589572539,-122.649986211711,1.0,1.0,,in_service,1911.0,Metro RLIS Affordable Housing
2205 SE STARK ST,2205 SE STARK ST,Portland,97214,45.5194807188421,-122.643283840624,1.0,1.0,,in_service,1900.0,Metro RLIS Affordable Housing
1922 SE WASHINGTON ST,1922 SE WASHINGTON ST,Portland,97214,45.5183785611286,-122.645965360347,1.0,1.0,,in_service,1895.0,Metro RLIS Affordable Housing
1829 SE WASHINGTON ST,1829 SE WASHINGTON ST,Portland,97214,45.5187652476958,-122.646752767467,1.0,1.0,,in_service,1940.0,Metro RLIS Affordable Housing
2203-2205 SE MADISON ST,2203 SE MADISON ST,Portland,97214,45.5130840798958,-122.643339510535,2.0,2.0,2.0,in_service,1906.0,Metro RLIS Affordable Housing
1421 SE PINE ST,1421 SE PINE ST,Portland,97214,45.5209052198831,-122.650983138677,1.0,1.0,,in_service,1890.0,Metro RLIS Affordable Housing
805 SE 30TH AVE,805 SE 30TH AVE,Portland,97214,45.517001283333,-122.635023098455,1.0,1.0,,in_service,1907.0,Metro RLIS Affordable Housing
314 SE 13TH AVE,314 SE 13TH AVE,Portland,97214,45.5204570615652,-122.652281837399,1.0,1.0,,in_service,1941.0,Metro RLIS Affordable Housing
1419 SE OAK ST,1419 SE OAK ST,Portland,97214,45.5202611153784,-122.65111231824,1.0,1.0,,in_service,1904.0,Metro RLIS Affordable Housing
1304-1318 SE PINE ST,1310 SE PINE ST,Portland,97214,45.5205890513014,-122.652280673692,6.0,5.0,,in_service,1926.0,Metro RLIS Affordable Housing
1827 SE OAK ST,1827 SE OAK ST,Portland,97214,45.5202468602469,-122.646917830985,1.0,1.0,,in_service,1888.0,Metro RLIS Affordable Housing
617 SE 20TH AVE,617 SE 20TH AVE,Portland,97214,45.518286280707,-122.645722165032,1.0,1.0,,in_service,1905.0,Metro RLIS Affordable Housing
1926 SE WASHINGTON ST,1926 SE WASHINGTON ST,Portland,97214,45.5183782432908,-122.645867817392,1.0,1.0,,in_service,1895.0,Metro RLIS Affordable Housing
612 SE 19TH AVE,612 SE 19TH AVE,Portland,97214,45.5183108123916,-122.646209650135,1.0,1.0,,in_service,1892.0,Metro RLIS Affordable Housing
316 SE 31ST AVE,316 SE 31ST AVE,Portland,97214,45.520393458123,-122.632684562749,1.0,1.0,,in_service,1910.0,Metro RLIS Affordable Housing
2037 SE 41ST AVE,2037 SE 41ST AVE,Portland,97214,45.508176056803,-122.620517486704,1.0,1.0,,in_service,1914.0,Metro RLIS Affordable Housing
2522-2534 SE 18TH AVE,2528 SE 18TH AVE,Portland,97202,45.5043294584565,-122.647258321776,3.0,2.0,,in_service,1905.0,Metro RLIS Affordable Housing
1803-1815 SE WOODWARD ST,1809 SE WOODWARD ST,Portland,97202,45.5021907458772,-122.6473436018,3.0,3.0,,in_service,1912.0,Metro RLIS Affordable Housing
MARION STREET APARTMENTS,2020 SE MARION ST,Portland,97202,45.459492406193,-122.643553906158,24.0,5.0,1.0,in_service,1971.0,Metro RLIS Affordable Housing
1225 SE YAMHILL ST,1225 SE YAMHILL ST,Portland,97214,45.5159204469423,-122.653033754844,8.0,8.0,,in_service,1908.0,Metro RLIS Affordable Housing
WESTSHORE APARTMENTS,222 SW PINE ST,Portland,97204,45.521257295044,-122.673306686201,113.0,113.0,,in_service,1996.0,Metro RLIS Affordable Housing
PACIFIC TOWER APARTMENTS,323 NW 4TH AVE,Portland,97209,45.5257294084485,-122.674690635661,156.0,156.0,11.0,in_service,2003.0,Metro RLIS Affordable Housing
RITA MAE MANOR,13541 SE MARKET ST,Portland,97233,45.5114162753941,-122.523964828605,5.0,5.0,,in_service,1972.0,Metro RLIS Affordable Housing
ALLEN FREMONT PLAZA,221 NE FREMONT ST,Portland,97212,45.5485470583959,-122.663126902118,64.0,63.0,1.0,in_service,1997.0,Metro RLIS Affordable Housing
COUNTRY SQUIRE APARTMENTS,6720 SE 72ND AVE,Portland,97206,45.4737045319655,-122.588158949892,32.0,31.0,24.0,in_service,1973.0,Metro RLIS Affordable Housing
LENTS TOWN CENTER PLAZA - RENTAL SCATTERED,9222 SE WOODSTOCK BLVD,Portland,97266,45.4789195152028,-122.568364251048,36.0,35.0,32.0,in_service,2003.0,Metro RLIS Affordable Housing
COLLINS CIRCLE,1701 SW COLUMBIA ST,Portland,97201,45.5171521898747,-122.691920446547,124.0,52.0,4.0,in_service,2000.0,Metro RLIS Affordable Housing
BOOKMARK APARTMENTS,2034 NE 40TH AVE,Portland,97212,45.5375341580347,-122.621431741362,47.0,19.0,11.0,in_service,2002.0,Metro RLIS Affordable Housing
PEARL COURT APARTMENTS,920 NW KEARNEY ST,Portland,97209,45.5291873389755,-122.68081154505,199.0,199.0,28.0,in_service,1997.0,Metro RLIS Affordable Housing
CAROLYN GARDENS APARTMENTS,13907 SE DIVISION ST,Portland,97236,45.5044777850338,-122.520276153924,12.0,12.0,12.0,in_service,2001.0,Metro RLIS Affordable Housing
"COLUMBIA KNOLL, THE TERRACE, THE HEIGHTS",8200 NE SANDY BLVD,Portland,97220,45.5519283275879,-122.577188293679,326.0,323.0,143.0,in_service,2005.0,Metro RLIS Affordable Housing
PINE POINT APARTMENTS,12025 SE PINE ST,Portland,97216,45.5206023298474,-122.538986438001,24.0,24.0,2.0,in_service,2001.0,Metro RLIS Affordable Housing
NADINE PLACE,2270 SE CESAR E CHAVEZ BLVD,Portland,97214,45.5064412698435,-122.622362041659,6.0,6.0,,in_service,1910.0,Metro RLIS Affordable Housing
INTERSTATE CROSSING & HEADSTART,6847 N INTERSTATE AVE,Portland,97217,45.5724922332223,-122.682507988224,12.0,12.0,12.0,in_service,2002.0,Metro RLIS Affordable Housing
PUB GROUP LLC,4938 NE 15TH AVE,Portland,97211,45.5588652633711,-122.649408259249,11.0,9.0,6.0,in_service,1911.0,Metro RLIS Affordable Housing
MCCULLER CROSSING,236 N KILLINGSWORTH ST,Portland,97217,45.5624294838681,-122.669361222141,40.0,40.0,32.0,in_service,2001.0,Metro RLIS Affordable Housing
YWCA OF GREATER PORTLAND,1111 SW 10TH AVE,Portland,97205,45.5170546749122,-122.684057191913,36.0,36.0,,in_service,1987.0,Metro RLIS Affordable Housing
FAMILY SCATTERED SITE PROJECT,4716 N MISSISSIPPI AVE,Portland,97217,45.5572896655181,-122.675618257201,13.0,13.0,13.0,in_service,2005.0,Metro RLIS Affordable Housing
PARK VISTA,10918 SE STARK ST,Portland,97216,45.5184804705412,-122.550548663732,59.0,59.0,35.0,in_service,2001.0,Metro RLIS Affordable Housing
SAFE HAVEN SHELTER,4610 N MARYLAND AVE,Portland,97217,45.5563933238742,-122.68079088306,10.0,10.0,,in_service,2018.0,Metro RLIS Affordable Housing
PCRI - SCATTERED SITES (8),1455 NE GOING ST,Portland,97211,45.5565612597683,-122.650499636031,8.0,8.0,8.0,in_service,2001.0,Metro RLIS Affordable Housing
BEYER COURT,9305 SE HAROLD ST,Portland,97266,45.4831710578323,-122.567474762055,14.0,14.0,14.0,in_service,1969.0,Metro RLIS Affordable Housing
TISTILAL VILLAGE,7622 N GLOUCESTER AVE,Portland,97203,45.5826524788542,-122.72252805525,34.0,33.0,33.0,in_service,1999.0,Metro RLIS Affordable Housing
3832-3840 SE CENTER ST,3832 SE CENTER ST,Portland,97202,45.4938053287833,-122.623033240551,5.0,5.0,1.0,in_service,1969.0,Metro RLIS Affordable Housing
JOHNSON CREEK COMMONS,7940 SE 72ND AVE,Portland,97206,45.4657478600665,-122.588569394175,15.0,15.0,5.0,in_service,1973.0,Metro RLIS Affordable Housing
GRETCHEN KAFOURY COMMONS,1240 SW COLUMBIA ST,Portland,97201,45.5159111859366,-122.687443645746,129.0,129.0,5.0,in_service,2002.0,Metro RLIS Affordable Housing
LAURELHURST APARTMENTS,804 SE CESAR E CHAVEZ BLVD,Portland,97214,45.5170282095146,-122.622512769422,23.0,23.0,,in_service,1917.0,Metro RLIS Affordable Housing
REX ARMS APARMENTS,1230 SE MORRISON ST,Portland,97214,45.5169823040331,-122.652823970512,62.0,62.0,,in_service,1913.0,Metro RLIS Affordable Housing
TAFT HOME,1337 SW WASHINGTON ST,Portland,97205,45.5225469931911,-122.685009977448,85.0,85.0,,in_service,1906.0,Metro RLIS Affordable Housing
ALBINA PLAZA,4012 N BORTHWICK AVE,Portland,97227,45.5524846492275,-122.673708976587,8.0,8.0,4.0,in_service,1972.0,Metro RLIS Affordable Housing
RUSSET HOUSE,432 NE RUSSET ST,Portland,97211,45.5777318268702,-122.66051556682,1.0,1.0,1.0,in_service,1920.0,Metro RLIS Affordable Housing
VILLA DE SUENOS,6518 NE KILLINSWORTH ST,Portland,97218,45.5622667129408,-122.596029906972,28.0,28.0,28.0,in_service,1999.0,Metro RLIS Affordable Housing
MLK/WYGANT,4606 NE MARTIN LUTHER KING JR BLVD,Portland,97211,45.5568619728778,-122.66117911318,46.0,33.0,35.0,in_service,1998.0,Metro RLIS Affordable Housing
WOODSTOCK HOUSE,7003 SE WOODSTOCK BLVD,Portland,97206,45.4797412786403,-122.591026274368,2.0,2.0,2.0,in_service,1999.0,Metro RLIS Affordable Housing
ST FRANCIS PLACE,4943 NE 10TH AVE,Portland,97211,45.5588693285615,-122.655872164243,3.0,3.0,3.0,in_service,2006.0,Metro RLIS Affordable Housing
4812-4818 N COMMERCIAL AVE,4812 N COMMERCIAL AVE,Portland,97217,45.5577765379216,-122.670842003761,2.0,2.0,2.0,in_service,2005.0,Metro RLIS Affordable Housing
FREMONT MANOR APARTMENTS,233 N FREMONT ST,Portland,97227,45.5485878520672,-122.668508051417,28.0,28.0,10.0,in_service,1969.0,Metro RLIS Affordable Housing
COLUMBIA VIEW APARTMENTS,4631 NE 118TH AVE,Portland,97220,45.5567703180523,-122.541967811904,7.0,7.0,7.0,in_service,2000.0,Metro RLIS Affordable Housing
SCHILLER-LIEBE FAMILY HOUSING,9326 SE SCHILLER WAY,Portland,97266,45.4872429161736,-122.567366671654,26.0,26.0,26.0,in_service,1999.0,Metro RLIS Affordable Housing
THE ROSE APARTMENTS,631 SE TAYLOR ST,Portland,97214,45.5152080481021,-122.659021266874,58.0,58.0,,in_service,1910.0,Metro RLIS Affordable Housing
WILSHIRE APARTMENTS,420 SE GRAND AVE,Portland,97214,45.5195789496097,-122.660363750389,42.0,42.0,,in_service,1999.0,Metro RLIS Affordable Housing
ANKENY WOODS,11930 SE ANKENY ST,Portland,97216,45.5215601369081,-122.539423568658,42.0,42.0,26.0,in_service,1997.0,Metro RLIS Affordable Housing
UNION STATION B,815 NW NAITO PKWY,Portland,97209,45.5289306589985,-122.674767630663,321.0,128.0,,in_service,2003.0,Metro RLIS Affordable Housing
MACDONALD RESIDENCE,605 NW COUCH ST,Portland,97209,45.5238905505403,-122.676632258126,54.0,54.0,,in_service,1999.0,Metro RLIS Affordable Housing
HAMILTON PARK APARTMENTS,1973 SE 122ND AVE,Portland,97233,45.5081136239984,-122.539304298949,76.0,15.0,53.0,in_service,1969.0,Metro RLIS Affordable Housing
GLADSTONE SQUARE APARTMENTS,12020 SE GLADSTONE ST,Portland,97266,45.4928630051871,-122.539577123446,48.0,48.0,32.0,in_service,1998.0,Metro RLIS Affordable Housing
HAMILTON WEST,1212 SW CLAY ST,Portland,97201,45.5151547525307,-122.687563196516,152.0,152.0,,in_service,1999.0,Metro RLIS Affordable Housing
FESSENDEN COURT APARTMENTS,7936 N FESSENDEN ST,Portland,97203,45.5955228310647,-122.74483635523,9.0,9.0,9.0,in_service,1998.0,Metro RLIS Affordable Housing
FARGO COURT,430 NE FARGO ST,Portland,97212,45.5460705034027,-122.660767084812,2.0,2.0,2.0,in_service,2005.0,Metro RLIS Affordable Housing
CEDAR PLACE,130 NE LOMBARD ST,Portland,97211,45.5769630023407,-122.664206715138,5.0,5.0,5.0,in_service,1998.0,Metro RLIS Affordable Housing
GRAND OAKS,418 SE GRAND AVE,Portland,97214,45.5197220142971,-122.660481363151,42.0,42.0,,in_service,1911.0,Metro RLIS Affordable Housing
CASCADE CROSSING,10535 E BURNSIDE ST,Portland,97216,45.5231135752758,-122.553846841406,74.0,74.0,58.0,in_service,1999.0,Metro RLIS Affordable Housing
IVON COURT,"2627 SE 125TH AVE
2627 SE 125TH AVE",Portland,97236,45.5027757924872,-122.535066377305,8.0,8.0,8.0,in_service,1999.0,Metro RLIS Affordable Housing
SEQUOIA SQUARE,247 SE 160TH AVE,Portland,97233,45.5208636934005,-122.499692298112,62.0,61.0,52.0,in_service,2001.0,Metro RLIS Affordable Housing
MAGGIE GIBSON PLAZA,1700 NE ALBERTA ST,Portland,97211,45.5589011767076,-122.647478942264,9.0,9.0,6.0,in_service,1908.0,Metro RLIS Affordable Housing
CENTER VILLAGE - PHASE II,5815 NE GLISAN ST,Portland,97213,45.5266615079608,-122.60358888254,60.0,60.0,60.0,in_service,2000.0,Metro RLIS Affordable Housing
THE COMMONS,5800 NE CENTER COMMONS WAY,Portland,97213,45.5272044789793,-122.603129516398,172.0,172.0,24.0,in_service,2000.0,Metro RLIS Affordable Housing
BUCKMAN HEIGHTS APARTMENTS,430 NE 16TH AVE,Portland,97232,45.525807966687,-122.649007008716,144.0,144.0,20.0,in_service,1998.0,Metro RLIS Affordable Housing
FIFTH AVE PLACE APARTMENTS,314 NW 5TH AVE,Portland,97209,45.5254472331139,-122.675168402862,70.0,70.0,5.0,in_service,1999.0,Metro RLIS Affordable Housing
RODNEY RECEIVERSHIP,4135 NE RODNEY AVE,Portland,97211,45.5538774926574,-122.664978614934,1.0,1.0,1.0,in_service,1982.0,Metro RLIS Affordable Housing
FIFTH AVENUE COURT APARTMENTS,234 NW 5TH AVE,Portland,97209,45.5250097728834,-122.675148677114,96.0,39.0,21.0,in_service,1999.0,Metro RLIS Affordable Housing
OTESHA PLACE,4933 NE 15TH AVE,Portland,97211,45.558781531548,-122.649909997322,11.0,11.0,7.0,in_service,1998.0,Metro RLIS Affordable Housing
VILLAGE AT LOVEJOY FOUNTAIN,245 SW LINCOLN ST,Portland,97201,45.5086273390374,-122.680005415797,198.0,40.0,44.0,in_service,1999.0,Metro RLIS Affordable Housing
SABIN - 5017-5020 NE 6TH,5017 NE 6TH AVE,Portland,97211,45.5594548781346,-122.659763588255,2.0,2.0,2.0,in_service,1916.0,Metro RLIS Affordable Housing
734 NE SHAVER ST,734 NE SHAVER ST,Portland,97212,45.5518849623045,-122.657783605206,1.0,1.0,1.0,in_service,1913.0,Metro RLIS Affordable Housing
632 N WEBSTER ST,632 N WEBSTER ST,Portland,97217,45.559530470036,-122.673740226489,2.0,1.0,2.0,in_service,1912.0,Metro RLIS Affordable Housing
5036 NE 23RD AVE,5036 NE 23RD AVE,Portland,97211,45.5596166334528,-122.641596171251,1.0,1.0,1.0,in_service,1910.0,Metro RLIS Affordable Housing
5330 NE 17TH AVE,5330 NE 17TH AVE,Portland,97211,45.5620459337932,-122.647431973576,1.0,1.0,1.0,in_service,1910.0,Metro RLIS Affordable Housing
5029 - 5031 NE 7TH AVE,5029 NE 7TH AVE,Portland,97211,45.5596521850704,-122.65874305812,2.0,1.0,2.0,in_service,1923.0,Metro RLIS Affordable Housing
4629 NE 22ND AVE,4629 NE 22ND AVE,Portland,97211,45.5568542270595,-122.643179130917,1.0,1.0,1.0,in_service,1908.0,Metro RLIS Affordable Housing
ELDERPLACE AT CULLY,5119 NE 57TH AVE,Portland,97218,45.5595880554436,-122.604770093534,42.0,6.0,,in_service,1996.0,Metro RLIS Affordable Housing
4616 NE MALLORY AVE,4616 NE MALLORY AVE,Portland,97211,45.5566886060069,-122.66336865064,1.0,1.0,1.0,in_service,1907.0,Metro RLIS Affordable Housing
ROYAL PALM HOTEL,310 NW FLANDERS ST,Portland,97209,45.5258071861875,-122.673787537163,50.0,50.0,,in_service,1997.0,Metro RLIS Affordable Housing
3513 NE CLEVELAND AVE,3513 NE CLEVELAND AVE,Portland,97212,45.5485488230193,-122.665908137979,2.0,1.0,2.0,in_service,1965.0,Metro RLIS Affordable Housing
4918 NE 9TH AVE,4918 NE 9TH AVE,Portland,97211,45.5584319458947,-122.656269807734,1.0,1.0,1.0,in_service,1901.0,Metro RLIS Affordable Housing
7864 SE 64TH AVE,7864 SE 64TH AVE,Portland,97206,45.4664051611493,-122.597528036864,1.0,1.0,1.0,in_service,1951.0,Metro RLIS Affordable Housing
6046 SE FLAVEL ST - SFR,6046 SE FLAVEL ST,Portland,97206,45.4684391148518,-122.601114604637,1.0,1.0,1.0,in_service,1996.0,Metro RLIS Affordable Housing
6040 SE FLAVEL ST - SFR,6040 SE FLAVEL ST,Portland,97206,45.4683841994283,-122.601340291167,1.0,1.0,1.0,in_service,1996.0,Metro RLIS Affordable Housing
4922 SE TENINO DR - SFR,4922 SE TENINO DR,Portland,97206,45.4657964847687,-122.612244997499,1.0,1.0,1.0,in_service,1996.0,Metro RLIS Affordable Housing
1202 NE MASON ST,1202 NE MASON ST,Portland,97211,45.5531392653247,-122.653510963111,1.0,1.0,1.0,in_service,1888.0,Metro RLIS Affordable Housing
4918 SE TENINO DR - SFR,4918 SE TENINO DR,Portland,97206,45.4657963567554,-122.61243979148,1.0,1.0,1.0,in_service,1996.0,Metro RLIS Affordable Housing
7419 SE BYBEE BLVD,7419 SE BYBEE BLVD,Portland,97206,45.4725388604649,-122.587089989585,1.0,1.0,1.0,in_service,1995.0,Metro RLIS Affordable Housing
1514 NE LIBERTY ST,1514 NE LIBERTY ST,Portland,97211,45.5703297736903,-122.649682862975,1.0,1.0,1.0,in_service,1907.0,Metro RLIS Affordable Housing
4911 SE TENINO DR - SFR,4911 SE TENINO DR,Portland,97206,45.4662037736314,-122.612536037157,1.0,1.0,1.0,in_service,1996.0,Metro RLIS Affordable Housing
6122 SE TOLMAN ST,6122 SE TOLMAN ST,Portland,97206,45.4771776579611,-122.600432635351,1.0,1.0,1.0,in_service,1995.0,Metro RLIS Affordable Housing
TABOR HOUSE,326 SE 76TH AVE,Portland,97215,45.5198258288681,-122.584363586712,1.0,1.0,1.0,in_service,1884.0,Metro RLIS Affordable Housing
LAFAYETTE APARTMENTS,8714 SE LAFAYETTE ST,Portland,97266,45.496179588295,-122.572531287473,32.0,10.0,1.0,in_service,1994.0,Metro RLIS Affordable Housing
10014 SE INSLEY ST,10014 SE INSLEY ST,Portland,97266,45.4831644541941,-122.560356678031,1.0,1.0,,in_service,1996.0,Metro RLIS Affordable Housing
PISGAH HOME COLONY,7511 SE HENRY ST,Portland,97206,45.4771880600307,-122.585410141712,31.0,31.0,,in_service,1961.0,Metro RLIS Affordable Housing
1345 NE 59TH AVE,1345 NE 59TH AVE,Portland,97213,45.5329069125573,-122.603396290379,1.0,1.0,1.0,in_service,1926.0,Metro RLIS Affordable Housing
10146 N POLK AVE,10146 N POLK AVE,Portland,97203,45.5976886629882,-122.74057545983,1.0,1.0,1.0,in_service,1926.0,Metro RLIS Affordable Housing
THE VICTORIAN,2255 W BURNSIDE ST,Portland,97210,45.5236032813707,-122.697558484131,62.0,61.0,,in_service,1908.0,Metro RLIS Affordable Housing
525 NE JESSUP ST,525 NE JESSUP ST,Portland,97211,45.5641883185915,-122.659815933339,1.0,1.0,1.0,in_service,1909.0,Metro RLIS Affordable Housing
CEEL-OCKS MANOR,7602 N GLOUCESTER AVE,Portland,97203,45.5826524788542,-122.72252805525,44.0,43.0,,in_service,1973.0,Metro RLIS Affordable Housing
4831 NE 13TH AVE,4831 NE 13TH AVE,Portland,97211,45.5577893353824,-122.652963873436,1.0,1.0,1.0,in_service,1910.0,Metro RLIS Affordable Housing
BETTY CAMPBELL BUILDING,3987 N MISSISSIPPI AVE,Portland,97227,45.5519479700209,-122.675829127029,9.0,6.0,5.0,in_service,2004.0,Metro RLIS Affordable Housing
FAULKNER PLACE,13317 SE POWELL BLVD,Portland,97236,45.4980317009451,-122.525840328891,9.0,9.0,,in_service,1994.0,Metro RLIS Affordable Housing
3610 N MISSISSIPPI AVE,3610 N MISSISSIPPI AVE,Portland,97227,45.5489833126334,-122.675226489459,1.0,1.0,1.0,in_service,1904.0,Metro RLIS Affordable Housing
GLISAN STREET HOUSE,2375 NW GLISAN ST,Portland,97210,45.5263836152165,-122.70009405356,10.0,10.0,,in_service,1904.0,Metro RLIS Affordable Housing
846 N WEBSTER ST,846 NE WEBSTER ST,Portland,97211,45.5594959405533,-122.675997963544,1.0,1.0,1.0,in_service,1908.0,Metro RLIS Affordable Housing
3904 NE 6TH AVE,3904 NE 6TH AVE,Portland,97212,45.5509414293466,-122.659287208857,2.0,2.0,2.0,in_service,1916.0,Metro RLIS Affordable Housing
4525 NE 11TH AVE,4525 NE 11TH AVE,Portland,97211,45.5558868038234,-122.654947940726,1.0,1.0,1.0,in_service,1940.0,Metro RLIS Affordable Housing
HAZELWOOD RETIREMENT COMMUNITY,11939 NE DAVIS ST,Portland,97220,45.5243973235792,-122.539528641643,120.0,96.0,24.0,in_service,1997.0,Metro RLIS Affordable Housing
