project_name,address,city,zip,latitude,longitude,total_units,affordable_units,family_units_estimate,status,expected_year,source
PROVIDENCE HOUSE,5921 E BURNSIDE ST,Portland,97215,45.52287,-122.60281,40.0,40.0,,in_service,2014.0,OAHI (data.oregon.gov p9yn-ftai)
3909 NE 10TH AVE / FAILING ST,935 NE FAILING ST,Portland,97212,45.55083,-122.65588,2.0,2.0,,in_service,1906.0,OAHI (data.oregon.gov p9yn-ftai)
11TH/SHAVER DUPLEX,3971 NE 11TH AVE,Portland,97212,45.5519,-122.65471,2.0,2.0,,in_service,1995.0,OAHI (data.oregon.gov p9yn-ftai)
Kafoury Commons,1240 SW Columbia Street,Portland,97201,45.51609,-122.68738,129.0,92.0,5.0,in_service,2000.0,OAHI (data.oregon.gov p9yn-ftai)
Bethany Meadows I,16050 NW LAIDLAW RD,Portland,97229,45.55634,-122.84173,208.0,208.0,104.0,in_service,1997.0,OAHI (data.oregon.gov p9yn-ftai)
Lents 2000,7704-16 SE Raymond,Portland,97206,45.48658,-122.58406,36.0,36.0,31.0,in_service,2003.0,OAHI (data.oregon.gov p9yn-ftai)
Wygant Street,4808 NE 8TH AVE,Portland,97211,45.55743,-122.65759,5.0,5.0,5.0,in_service,1994.0,OAHI (data.oregon.gov p9yn-ftai)
CARRIAGE HILL,8010 SW 45TH AVE,Portland,97219,45.46639,-122.72319,3.0,3.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
Leander Court,4600 SE 122nd Avenue,Portland,97236,45.48878,-122.53776,37.0,37.0,37.0,in_service,2007.0,OAHI (data.oregon.gov p9yn-ftai)
CSP Lexington Apartments,1125 SW 12th Avenue,Portland,97205-2048,45.5175,-122.68579,54.0,54.0,,in_service,2013.0,OAHI (data.oregon.gov p9yn-ftai)
WOODMERE COMMONS,8002 SE DUKE ST,Portland,97206,45.47588,-122.58138,4.0,4.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
1705 SE MORRISON ST,1705 SE MORRISON ST,Portland,97214,45.5172,-122.64834,4.0,4.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
PINES II,110 SE 188TH AVE,Portland,97233,45.52143,-122.4701,13.0,13.0,47.0,in_service,1996.0,OAHI (data.oregon.gov p9yn-ftai)
5020 NE 25TH AVE,5020 NE 25TH AVE,Portland,97211,45.5594,-122.63989,2.0,2.0,,in_service,1997.0,OAHI (data.oregon.gov p9yn-ftai)
604 SE 20TH AVE,604 SE 20TH AVE,Portland,97214,45.51842,-122.64554,2.0,2.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
5604 SE DUKE ST,5604 SE DUKE ST,Portland,97206,45.47583,-122.60568,2.0,2.0,,in_service,1928.0,OAHI (data.oregon.gov p9yn-ftai)
KIRKLAND UNION MANOR III,8447 SE LAFAYETTE ST,Portland,97266,45.49618,-122.57477,56.0,56.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
Glisan - PSH,7450 NE Glisan Street,Portland,97213,45.52644,-122.58643,41.0,41.0,,in_development,2025.0,OAHI (data.oregon.gov p9yn-ftai)
MORRISON PARK,623 SW PARK AVE,Portland,97205,45.52006,-122.68032,60.0,60.0,6.0,in_service,1994.0,OAHI (data.oregon.gov p9yn-ftai)
Albina Corner,409 NE San Rafael,Portland,97212,45.53706,-122.66129,48.0,48.0,19.0,in_service,1996.0,OAHI (data.oregon.gov p9yn-ftai)
Beech Street,3650 NE MALLORY AVE,Portland,97212,45.54891,-122.66322,32.0,31.0,31.0,in_service,2014.0,OAHI (data.oregon.gov p9yn-ftai)
Kafoury Court Apartments,4080 NE Grand,Portland,97212,45.55311,-122.66054,40.0,40.0,,in_development,2026.0,OAHI (data.oregon.gov p9yn-ftai)
King + Parks Apts,6431-6445 NE MLK JR BLVD,Portland,97211,45.56924,-122.66137,70.0,70.0,50.0,in_service,2020.0,OAHI (data.oregon.gov p9yn-ftai)
CARITAS VILLA,16050 E BURNSIDE ST,Portland,97233,45.5221,-122.49832,30.0,30.0,3.0,in_service,1991.0,OAHI (data.oregon.gov p9yn-ftai)
IVON COURT,2627 SE 125TH AVE,Portland,97236,45.50278,-122.53474,8.0,8.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
2235 SE UMATILLA ST,2235 SE UMATILLA ST,Portland,97202,45.46288,-122.64179,94.0,94.0,,in_service,1969.0,OAHI (data.oregon.gov p9yn-ftai)
Yards at Union Station A,945 NW Naito Parkway,Portland,97209,45.53015,-122.67557,158.0,158.0,37.0,in_service,1998.0,OAHI (data.oregon.gov p9yn-ftai)
Coburn Woods Apartments,17308 NE COUCH ST,Portland,97230,45.52263,-122.48461,10.0,10.0,1.0,in_service,1997.0,OAHI (data.oregon.gov p9yn-ftai)
M Carter Commons,TBD,Portland,,,,62.0,62.0,,in_development,2027.0,OAHI (data.oregon.gov p9yn-ftai)
