area_id,area_name,geography,year,total_population,households,employment,age_breakdown,source
troutdale,Troutdale,jurisdiction,2045,17795,6829,10321,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
tualatin,Tualatin,jurisdiction,2020,27278,10955,34115,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
tualatin,Tualatin,jurisdiction,2030,27598,11474,34615,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
tualatin,Tualatin,jurisdiction,2045,27565,11626,36792,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
west_linn,West Linn,jurisdiction,2020,26060,9955,4982,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
west_linn,West Linn,jurisdiction,2030,26579,10617,5365,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
west_linn,West Linn,jurisdiction,2045,26990,11886,6135,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
wilsonville,Wilsonville,jurisdiction,2020,25945,9778,20539,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
wilsonville,Wilsonville,jurisdiction,2030,29756,11727,21323,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
wilsonville,Wilsonville,jurisdiction,2045,30566,13281,24010,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
wood_village,Wood Village,jurisdiction,2020,4213,1223,2594,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
wood_village,Wood Village,jurisdiction,2030,4814,1461,3197,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
wood_village,Wood Village,jurisdiction,2045,5306,1703,3798,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
unincorporated_clackamas_county,Unincorporated Clackamas County,jurisdiction,2020,201322,75024,72446,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
unincorporated_clackamas_county,Unincorporated Clackamas County,jurisdiction,2030,219034,85357,75446,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
unincorporated_clackamas_county,Unincorporated Clackamas County,jurisdiction,2045,293341,126027,90565,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
unincorporated_multnomah_county,Unincorporated Multnomah County,jurisdiction,2020,19328,5588,3849,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
unincorporated_multnomah_county,Unincorporated Multnomah County,jurisdiction,2030,22264,6731,5416,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
unincorporated_multnomah_county,Unincorporated Multnomah County,jurisdiction,2045,40490,12944,10081,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
unincorporated_washington_county,Unincorporated Washington County,jurisdiction,2020,264884,93243,65763,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
unincorporated_washington_county,Unincorporated Washington County,jurisdiction,2030,308416,112396,79192,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
unincorporated_washington_county,Unincorporated Washington County,jurisdiction,2045,372475,140670,103707,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
clackamas_county_total,"Clackamas County, total",county,2020,428614,162149,173891,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
clackamas_county_total,"Clackamas County, total",county,2030,493892,193685,181792,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
clackamas_county_total,"Clackamas County, total",county,2045,593665,252417,212341,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
multnomah_county_total,"Multnomah County, total",county,2020,831459,338604,538628,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
multnomah_county_total,"Multnomah County, total",county,2030,882577,375616,570846,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
multnomah_county_total,"Multnomah County, total",county,2045,970485,434827,651090,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
washington_county_total,"Washington County, total",county,2020,622082,232184,313513,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
washington_county_total,"Washington County, total",county,2030,718412,277718,338930,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
washington_county_total,"Washington County, total",county,2045,809312,322914,391712,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
region_total_3-county_inside_mpa,"Region total (3-county, inside MPA)",county,2020,1882155,732937,1026032,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
region_total_3-county_inside_mpa,"Region total (3-county, inside MPA)",county,2030,2094881,847019,1091568,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
region_total_3-county_inside_mpa,"Region total (3-county, inside MPA)",county,2045,2373462,1010158,1255143,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
